system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,8.556813184245943e-05,7.471744121869065e-05,46262,0.00010041026304719672,8.122833265849402e-05,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.1634196379261086e-05,4.025260923294657e-05,46262,5.687355928289318e-05,4.2585306202189966e-05,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.2800047837373305,0.9335346544465142,46262,1.277170177473593,0.9320652567646796,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.159217510235199,0.8295771861263932,46262,1.1356145722093056,0.8242911545395493,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.134379310105646,0.8049290334454308,46262,1.1402399863228254,0.806952271850453,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.234751460892608,0.8956053721681662,46262,1.2328326322931291,0.8957564553948518,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,8.991215759675837e-05,7.46354075216042e-05,46262,0.00010491735391061202,8.197527411775847e-05,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.1349173276406745e-05,3.8315242232623406e-05,46262,5.696060684582507e-05,4.1094314982436736e-05,0.018297615896897,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.1228433559169544,0.8166263117593782,46262,1.1038025604996058,0.8132362187109576,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,0.9922686451509216,0.7055746674748516,46262,0.9591772139660152,0.6919624785590022,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
