Study.name,Binomial,original.n.ind,final.n.ind,total.n.pts,start.date,end.date,total.days,median.interval.mins,sd.interval.mins,ave.long,ave.lat,countries,iso
cape_buffalo_botswana_emily,Syncerus caffer,15,15,11671,12/9/07,8/7/10,972,300,1047.7,23.5319355,-19.522456,Botswana,BWA
eland_etosha,Taurotragus oryx,9,9,1127333,7/21/20,2/20/23,944,5,381.1,15.2714251,-19.258317,Namibia,NAM
taurotragus_oryx_gorongosa,Taurotragus oryx,10,10,58146,6/14/22,2/20/24,616,30,103.4,34.4237456,-18.929555,Mozambique,MOZ
tragelaphus_angasii_gorongosa,Tragelaphus angasii,38,37,273134,6/25/14,11/1/23,3416,30,143.8,34.3738338,-18.935681,Mozambique,MOZ
tragelaphus_scriptus_gorongosa,Tragelaphus scriptus,102,102,440421,6/21/14,2/19/24,3530,60,474.3,34.3915951,-18.914953,Mozambique,MOZ
kudu_etosha,Tragelaphus strepsiceros,9,9,1386119,7/21/20,10/27/22,828,5,271.2,15.19085,-19.243142,Namibia,NAM
tragelaphus_strepsiceros_gorongosa,Tragelaphus strepsiceros,78,78,950156,6/18/14,2/20/24,3534,30,233.5,34.3652767,-18.918356,Mozambique,MOZ
gray_fox_siuc,Urocyon cinereoargenteus,7,7,7226,1/6/23,10/31/23,298,120,547.1,-88.303082,37.5790906,United States of America,USA
bear_ab_sk_canada,Ursus americanus,49,45,140622,4/29/13,1/10/16,986,15,2704.1,-110.56011,55.5473704,Canada,CAN
ursus_americanus_bnaff,Ursus americanus,21,21,77276,6/29/17,11/11/24,2692,119,4621.8,-115.57726,51.2014226,Canada,CAN
bear_greece,Ursus arctos,21,21,47447,7/13/03,4/27/20,6133,61,1181.1,21.3892102,40.3150007,Greece,GRC
bear_spain,Ursus arctos,3,3,12065,10/26/21,5/22/24,939,21,369,-6.4278934,43.1015023,Spain,ESP
brown_bear_bosnia,Ursus arctos,7,7,53222,5/2/13,12/27/23,3891,60,714.3,16.3294668,44.4553756,"Bosnia and Herz., Croatia","BIH, HRV"
brown_bear_croatia,Ursus arctos,38,37,207849,9/26/03,3/31/25,7857,60,1382.5,15.0022672,45.1522091,"Croatia, Slovenia, Bosnia and Herz., NA","HRV, SVN, BIH, NA"
brown_bear_montenegro,Ursus arctos,3,3,1646,10/5/20,8/6/21,305,60,3658.4,18.9682214,43.120645,Montenegro,MNE
brown_bear_poland,Ursus arctos,45,44,252000,10/20/06,3/31/25,6737,30,7133.8,20.7385528,49.2328755,"Poland, Slovakia, Ukraine, Hungary","POL, SVK, UKR, HUN"
brown_bear_serbia,Ursus arctos,25,25,263703,10/28/15,1/31/25,3383,60,603.7,19.6340362,43.6624422,"Serbia, Bosnia and Herz., Montenegro, Kosovo","SRB, BIH, MNE, -99"
brown_bear_sweden,Ursus arctos,16,16,85456,1/1/24,2/16/25,412,60,855.7,15.0838666,61.5888178,Sweden,SWE
brown_bear_turkiye,Ursus arctos,75,67,395301,9/19/12,8/19/24,4352,60,3420.5,42.5704453,40.2951588,Turkey,TUR
grizzly_bear_bc,Ursus arctos,99,90,155867,9/27/15,11/9/23,2965,120,4503,-114.9369,49.6069703,Canada,CAN
ursus_arctos_bnaff,Ursus arctos,34,26,76010,6/25/09,7/29/17,2956,120,8871.4,-115.91441,51.3111147,Canada,CAN
vulpes_bengalensis_india,Vulpes bengalensis,26,26,81333,6/30/15,3/3/22,2438,15,676.8,74.5566198,18.3053994,India,IND
red_fox_scandinavia,Vulpes vulpes,80,80,74998,11/11/11,5/16/19,2743,240,1718.3,15.9368271,59.3201967,"Sweden, Norway, NA","SWE, -99, NA"
vulpes_vulpes_2011_uckermark,Vulpes vulpes,2,2,4139,5/4/11,10/25/11,174,20,1338.4,13.8126401,53.3788433,Germany,DEU
vulpes_vulpes_agri_germany,Vulpes vulpes,5,4,39505,12/19/16,12/30/18,741,4,181.5,13.3402275,52.995648,Germany,DEU
vulpes_vulpes_urban_germany,Vulpes vulpes,16,16,163216,12/2/15,2/2/19,1158,4,137.5,13.4109592,52.4816166,Germany,DEU
